N,Area,RelativeError,Run
38100,0.933937,0.0112012,7
38100,0.928324,0.0171448,8
38100,0.934448,0.0106609,9
38600,0.935693,0.00934294,0
38600,0.981281,0.0389233,1
38600,0.927129,0.0184095,2
38600,0.943249,0.00134302,3
38600,0.979266,0.0367899,4
38600,0.933678,0.0114763,5
38600,0.936196,0.00880961,6
38600,0.928388,0.0170762,7
38600,0.946523,0.00212362,8
38600,0.942997,0.00160968,9
39100,0.92323,0.0225377,0
39100,0.922733,0.0230642,1
39100,0.959284,0.0156341,2
39100,0.945857,0.00141842,3
39100,0.942624,0.00200388,4
39100,0.950084,0.00589374,5
39100,0.970224,0.0272173,6
39100,0.937154,0.00779547,7
39100,0.92497,0.0206949,8
39100,0.921241,0.0246437,9
39600,0.924585,0.0211031,0
39600,0.941771,0.00290799,1
39600,0.945208,0.000731036,2
39600,0.936369,0.00862645,3
39600,0.937106,0.00784666,4
39600,0.955274,0.0113882,5
39600,0.929495,0.0159045,6
39600,0.925076,0.0205832,7
39600,0.947172,0.00281048,8
39600,0.93686,0.00810659,9
40100,0.939241,0.00558637,0
40100,0.946999,0.00262768,1
40100,0.938513,0.00635644,2
40100,0.945787,0.00134424,3
40100,0.932695,0.012517,4
40100,0.951848,0.00776147,5
40100,0.949424,0.00519457,6
40100,0.935847,0.00918002,7
40100,0.96688,0.0236762,8
40100,0.933907,0.0112335,9
40600,0.91163,0.0348192,0
40600,0.917137,0.0289881,1
40600,0.941802,0.00287469,2
40600,0.969101,0.0260275,3
40600,0.971735,0.0288163,4
40600,0.972693,0.0298304,5
40600,0.921687,0.024171,6
40600,0.957128,0.0133511,7
40600,0.958804,0.0151258,8
40600,0.936534,0.00845231,9
41100,0.936022,0.00899452,0
41100,0.93342,0.0117494,1
41100,0.935549,0.00949541,2
41100,0.936731,0.00824319,3
41100,0.944774,0.00027189,4
41100,0.93342,0.0117494,5
41100,0.966773,0.0235631,6
41100,0.919227,0.026776,7
41100,0.948322,0.00402854,8
41100,0.937914,0.00699098,9
41600,0.917527,0.0285761,0
41600,0.982964,0.0407053,1
41600,0.953985,0.0100235,2
41600,0.94931,0.00507487,3
41600,0.950012,0.00581717,4
41600,0.933419,0.0117506,5
41600,0.974317,0.0315503,6
41600,0.935989,0.00902884,7
41600,0.941131,0.0035853,8
41600,0.947441,0.0030954,9
42100,0.925104,0.0205536,0
42100,0.944733,0.000228464,1
42100,0.937343,0.00759537,2
42100,0.950506,0.00634084,3
42100,0.982374,0.0400811,4
42100,0.915867,0.0303334,5
42100,0.951661,0.00756331,6
42100,0.970366,0.0273674,7
42100,0.965286,0.0219885,8
42100,0.948659,0.00438488,9
42600,0.919951,0.0260088,0
42600,0.988645,0.0467204,1
42600,0.944599,8.67025e-05,2
42600,0.942545,0.00208792,3
42600,0.932503,0.0127194,4
42600,0.934101,0.0110281,5
42600,0.917441,0.0286667,6
42600,0.919039,0.0269753,7
42600,0.922005,0.0238342,8
42600,0.95852,0.0148258,9
43100,0.94898,0.00472467,0
43100,0.944919,0.000425875,1
43100,0.944694,0.000187053,2
43100,0.940859,0.00387292,3
43100,0.95101,0.00687407,4
43100,0.954168,0.0102176,5
43100,0.935671,0.00936583,6
43100,0.966349,0.023114,7
43100,0.961161,0.0176211,8
43100,0.938603,0.00626114,9
43600,0.955267,0.011381,0
43600,0.935644,0.00939432,1
43600,0.949023,0.00477068,2
43600,0.947685,0.00335418,3
43600,0.949023,0.00477068,4
43600,0.952814,0.0087841,5
