N,Area,RelativeError,Run
36100,0.94846,0.00417425,4
36100,0.941297,0.0034091,5
36100,0.938488,0.00638297,6
36100,0.942514,0.00212043,7
36100,0.946587,0.00219167,8
36100,0.945698,0.00124995,9
36600,0.947139,0.00277561,0
36600,0.947185,0.0028245,1
36600,0.947,0.00262895,2
36600,0.942244,0.00240644,3
36600,0.939705,0.00509524,4
36600,0.946585,0.00218896,5
36600,0.952033,0.00795766,6
36600,0.94326,0.00133092,7
36600,0.939012,0.00582855,8
36600,0.947231,0.00287339,9
37100,0.952367,0.00831134,0
37100,0.938929,0.00591604,1
37100,0.94681,0.00242747,2
37100,0.940023,0.00475856,3
37100,0.950044,0.00585169,4
37100,0.941298,0.00340817,5
37100,0.94558,0.0011253,6
37100,0.944487,3.21788e-05,7
37100,0.940569,0.00417982,8
37100,0.93483,0.0102566,9
37600,0.941366,0.00333634,0
37600,0.947074,0.00270722,1
37600,0.943074,0.00152803,2
37600,0.949142,0.00489623,3
37600,0.943344,0.00124251,4
37600,0.945007,0.000518215,5
37600,0.949501,0.00527692,6
37600,0.945186,0.000708563,7
37600,0.946535,0.00213618,8
37600,0.944872,0.000375454,9
38100,0.947997,0.00368407,0
38100,0.942142,0.00251499,1
38100,0.946932,0.00255697,2
38100,0.949416,0.00518687,3
38100,0.940013,0.0047692,4
38100,0.940811,0.00392387,5
38100,0.940501,0.00425261,6
38100,0.947864,0.00354318,7
38100,0.933891,0.01125,8
38100,0.942319,0.00232714,9
38600,0.940183,0.00458889,0
38600,0.950165,0.00597988,1
38600,0.943423,0.00115867,2
38600,0.944517,1.81694e-07,3
38600,0.95161,0.00750957,4
38600,0.939482,0.00533056,5
38600,0.943029,0.00157586,6
38600,0.950472,0.00630436,7
38600,0.939876,0.00491337,8
38600,0.942635,0.00199305,9
39100,0.942726,0.00189631,0
39100,0.939441,0.00537418,1
39100,0.946314,0.00190189,2
39100,0.946184,0.00176461,3
39100,0.946659,0.00226798,4
39100,0.939355,0.00546571,5
39100,0.945276,0.000803616,6
39100,0.946097,0.00167308,7
39100,0.947567,0.00322897,8
39100,0.943029,0.00157598,9
39600,0.944266,0.00026577,0
39600,0.940596,0.00415157,1
39600,0.944223,0.000310954,2
39600,0.945674,0.00122529,3
39600,0.944266,0.00026577,4
39600,0.947894,0.00357484,5
39600,0.945077,0.00059272,6
39600,0.954082,0.0101265,7
39600,0.934194,0.0109291,8
39600,0.9531,0.00908725,9
40100,0.942523,0.00211165,0
40100,0.941975,0.00269172,1
40100,0.945009,0.000520945,2
40100,0.932745,0.0124636,3
40100,0.939109,0.0057259,4
40100,0.940078,0.00469963,5
40100,0.951415,0.00730323,6
40100,0.947791,0.00346588,7
40100,0.938393,0.00648444,8
40100,0.949687,0.0054738,9
40600,0.950438,0.00626828,0
40600,0.954683,0.0107635,1
40600,0.943112,0.00148818,2
40600,0.941197,0.00351543,3
40600,0.934037,0.0110956,4
40600,0.94461,9.83705e-05,5
40600,0.944111,0.000430479,6
40600,0.938533,0.00633596,7
40600,0.94844,0.00415288,8
40600,0.943736,0.000827116,9
41100,0.943234,0.00135875,0
41100,0.943727,0.000836338,1
41100,0.945865,0.00142746,2
41100,0.944262,0.000270387,3
41100,0.946606,0.00221109,4
41100,0.939369,0.00545101,5
41100,0.947921,0.0036042,6
41100,0.942535,0.00209884,7
41100,0.942329,0.00231652,8
41100,0.941877,0.0027954,9
41600,0.942906,0.00170557,0
41600,0.942906,0.00170557,1
41600,0.935837,0.00918955,2
41600,0.947741,0.00341279,3
41600,0.935391,0.00966267,4
41600,0.945872,0.00143427,5
41600,0.934172,0.010953,6
41600,0.941078,0.00364108,7
41600,0.941647,0.00303892,8
41600,0.945181,0.000703073,9
42100,0.942908,0.00170414,0
42100,0.945075,0.000590896,1
42100,0.947283,0.00292843,2
42100,0.947163,0.00280093,3
42100,0.951619,0.00751849,4
42100,0.945958,0.00152591,5
42100,0.941222,0.00348916,6
42100,0.942065,0.00259665,7
42100,0.944594,8.08887e-05,8
42100,0.950294,0.00611597,9
